"","msoa11cd","month","total_crime","all_ages"
"1","E02000001","2021-01",244,10938
"2","E02000001","2021-02",238,10938
"3","E02000001","2021-03",319,10938
"4","E02000001","2021-04",345,10938
"5","E02000001","2021-05",415,10938
"6","E02000001","2021-06",554,10938
"7","E02000001","2021-07",654,10938
"8","E02000001","2021-08",654,10938
"9","E02000001","2021-09",769,10938
"10","E02000001","2021-10",802,10938
"11","E02000001","2021-11",807,10938
"12","E02000001","2021-12",614,10938
"13","E02000002","2021-01",87,7726
"14","E02000002","2021-02",71,7726
"15","E02000002","2021-03",90,7726
"16","E02000002","2021-04",78,7726
"17","E02000002","2021-05",85,7726
"18","E02000002","2021-06",73,7726
"19","E02000002","2021-07",70,7726
"20","E02000002","2021-08",73,7726
"21","E02000002","2021-09",65,7726
"22","E02000002","2021-10",76,7726
"23","E02000002","2021-11",59,7726
"24","E02000002","2021-12",70,7726
"25","E02000003","2021-01",102,11246
"26","E02000003","2021-02",98,11246
"27","E02000003","2021-03",111,11246
"28","E02000003","2021-04",110,11246
"29","E02000003","2021-05",132,11246
"30","E02000003","2021-06",109,11246
"31","E02000003","2021-07",106,11246
"32","E02000003","2021-08",111,11246
"33","E02000003","2021-09",106,11246
"34","E02000003","2021-10",137,11246
"35","E02000003","2021-11",99,11246
"36","E02000003","2021-12",108,11246
"37","E02000004","2021-01",30,6646
"38","E02000004","2021-02",21,6646
"39","E02000004","2021-03",27,6646
"40","E02000004","2021-04",51,6646
"41","E02000004","2021-05",46,6646
"42","E02000004","2021-06",42,6646
"43","E02000004","2021-07",23,6646
"44","E02000004","2021-08",36,6646
"45","E02000004","2021-09",30,6646
"46","E02000004","2021-10",35,6646
"47","E02000004","2021-11",34,6646
"48","E02000004","2021-12",38,6646
"49","E02000005","2021-01",81,10540
"50","E02000005","2021-02",70,10540
"51","E02000005","2021-03",88,10540
"52","E02000005","2021-04",72,10540
"53","E02000005","2021-05",66,10540
"54","E02000005","2021-06",98,10540
"55","E02000005","2021-07",87,10540
"56","E02000005","2021-08",84,10540
"57","E02000005","2021-09",71,10540
"58","E02000005","2021-10",96,10540
"59","E02000005","2021-11",73,10540
"60","E02000005","2021-12",62,10540
"61","E02000007","2021-01",106,10076
"62","E02000007","2021-02",112,10076
"63","E02000007","2021-03",109,10076
"64","E02000007","2021-04",98,10076
"65","E02000007","2021-05",107,10076
"66","E02000007","2021-06",125,10076
"67","E02000007","2021-07",109,10076
"68","E02000007","2021-08",121,10076
"69","E02000007","2021-09",148,10076
"70","E02000007","2021-10",126,10076
"71","E02000007","2021-11",96,10076
"72","E02000007","2021-12",91,10076
"73","E02000008","2021-01",94,12777
"74","E02000008","2021-02",91,12777
"75","E02000008","2021-03",107,12777
"76","E02000008","2021-04",94,12777
"77","E02000008","2021-05",96,12777
"78","E02000008","2021-06",82,12777
"79","E02000008","2021-07",103,12777
"80","E02000008","2021-08",102,12777
"81","E02000008","2021-09",86,12777
"82","E02000008","2021-10",93,12777
"83","E02000008","2021-11",105,12777
"84","E02000008","2021-12",84,12777
"85","E02000009","2021-01",66,11850
"86","E02000009","2021-02",82,11850
"87","E02000009","2021-03",88,11850
"88","E02000009","2021-04",85,11850
"89","E02000009","2021-05",74,11850
"90","E02000009","2021-06",114,11850
"91","E02000009","2021-07",82,11850
"92","E02000009","2021-08",88,11850
"93","E02000009","2021-09",82,11850
"94","E02000009","2021-10",101,11850
"95","E02000009","2021-11",62,11850
"96","E02000009","2021-12",71,11850
"97","E02000010","2021-01",40,9141
"98","E02000010","2021-02",71,9141
"99","E02000010","2021-03",46,9141
"100","E02000010","2021-04",69,9141
"101","E02000010","2021-05",55,9141
"102","E02000010","2021-06",55,9141
"103","E02000010","2021-07",64,9141
"104","E02000010","2021-08",62,9141
"105","E02000010","2021-09",44,9141
"106","E02000010","2021-10",46,9141
"107","E02000010","2021-11",63,9141
"108","E02000010","2021-12",50,9141
"109","E02000011","2021-01",65,7014
"110","E02000011","2021-02",41,7014
"111","E02000011","2021-03",48,7014
"112","E02000011","2021-04",60,7014
"113","E02000011","2021-05",77,7014
"114","E02000011","2021-06",84,7014
"115","E02000011","2021-07",61,7014
"116","E02000011","2021-08",64,7014
"117","E02000011","2021-09",81,7014
"118","E02000011","2021-10",56,7014
"119","E02000011","2021-11",71,7014
"120","E02000011","2021-12",51,7014
"121","E02000012","2021-01",97,11375
"122","E02000012","2021-02",65,11375
"123","E02000012","2021-03",95,11375
"124","E02000012","2021-04",73,11375
"125","E02000012","2021-05",57,11375
"126","E02000012","2021-06",80,11375
"127","E02000012","2021-07",61,11375
"128","E02000012","2021-08",62,11375
"129","E02000012","2021-09",61,11375
"130","E02000012","2021-10",99,11375
"131","E02000012","2021-11",86,11375
"132","E02000012","2021-12",76,11375
"133","E02000013","2021-01",65,9009
"134","E02000013","2021-02",70,9009
"135","E02000013","2021-03",79,9009
"136","E02000013","2021-04",81,9009
"137","E02000013","2021-05",74,9009
"138","E02000013","2021-06",62,9009
"139","E02000013","2021-07",69,9009
"140","E02000013","2021-08",79,9009
"141","E02000013","2021-09",68,9009
"142","E02000013","2021-10",60,9009
"143","E02000013","2021-11",60,9009
"144","E02000013","2021-12",74,9009
"145","E02000014","2021-01",100,9966
