"","lsoa11cd","msoa11cd"
"1","E01011966","E02002488"
"2","E01011974","E02002487"
"3","E01011965","E02002488"
"4","E01011983","E02002488"
"5","E01011950","E02002490"
"6","E01011954","E02002483"
"7","E01011957","E02002485"
"8","E01011964","E02002489"
"9","E01011968","E02006909"
"10","E01011989","E02002492"
"11","E01011994","E02002484"
"12","E01011991","E02002484"
"13","E01011996","E02002493"
"14","E01012002","E02002488"
"16","E01011998","E02002493"
"17","E01011955","E02002485"
"18","E01011980","E02002491"
"19","E01011981","E02002491"
"22","E01032541","E02002485"
"23","E01011982","E02006909"
"24","E01012005","E02006909"
"26","E01011995","E02002493"
"28","E01033465","E02002483"
"30","E01011985","E02002492"
"33","E01011953","E02002484"
"35","E01033466","E02002485"
"36","E01011961","E02002494"
"37","E01011962","E02002494"
"38","E01033467","E02002483"
"39","E01011978","E02002494"
"44","E01011993","E02002484"
"46","E01012001","E02002490"
"51","E01011959","E02006909"
"52","E01011969","E02002483"
"54","E01011984","E02002491"
"59","E01011963","E02006909"
"63","E01011960","E02006909"
"75","E01011971","E02002483"
"77","E01011986","E02002490"
"83","E01011990","E02002492"
"88","E01011997","E02002493"
"91","E01012003","E02006909"
"94","E01011976","E02002487"
"95","E01011973","E02002487"
"97","E01011999","E02002489"
"101","E01011951","E02002489"
"113","E01011967","E02002489"
"119","E01011975","E02002487"
"130","E01011987","E02002490"
"136","E01011988","E02002492"
"144","E01011970","E02002483"
"155","E01011979","E02002494"
"157","E01011977","E02002494"
"162","E01011992","E02002484"
"173","E01012000","E02002489"
"174","E01012012","E02002503"
"175","E01012054","E02002504"
"177","E01012030","E02002514"
"179","E01012063","E02006811"
"180","E01012064","E02006811"
"181","E01012073","E02006811"
"182","E01012017","E02002502"
"183","E01012018","E02002506"
"184","E01012022","E02002510"
"185","E01012027","E02002501"
"186","E01012033","E02002514"
"187","E01012034","E02002514"
"189","E01012035","E02002514"
"190","E01012031","E02002514"
"194","E01012042","E02002513"
"196","E01032552","E02002513"
"197","E01032553","E02002513"
"198","E01012036","E02002498"
"199","E01012037","E02002498"
"200","E01012039","E02002498"
"203","E01012040","E02002498"
"208","E01012068","E02002496"
"210","E01033468","E02002496"
"224","E01011949","E02002491"
"241","E01032540","E02002485"
"261","E01011952","E02002484"
"318","E01012092","E02002496"
"322","E01012094","E02002496"
"324","E01012093","E02002496"
"328","E01012056","E02002504"
"332","E01012088","E02002499"
"333","E01012032","E02002514"
"336","E01012052","E02002509"
"337","E01012066","E02002512"
"340","E01012065","E02002512"
"341","E01012071","E02006811"
"342","E01012057","E02002504"
"343","E01012079","E02002500"
"344","E01012081","E02002500"
"346","E01032593","E02006811"
"348","E01012016","E02002502"
"349","E01012015","E02002502"
"351","E01012019","E02002506"
"352","E01033469","E02002501"
"354","E01012041","E02002498"
"355","E01012043","E02002513"
"357","E01012044","E02002513"
"358","E01012061","E02002497"
"359","E01012076","E02002499"
"360","E01012084","E02002505"
"363","E01012090","E02002502"
"364","E01012089","E02002502"
"365","E01012009","E02002507"
"366","E01012046","E02002508"
"367","E01012055","E02002504"
"368","E01012053","E02002504"
"403","E01012050","E02002509"
"407","E01012051","E02002509"
"409","E01012008","E02002507"
"410","E01012078","E02002500"
"423","E01012024","E02002510"
"429","E01012007","E02002507"
"430","E01012025","E02002510"
"442","E01012011","E02002503"
"449","E01012020","E02002506"
"450","E01012021","E02002506"
"461","E01012045","E02002513"
"466","E01012014","E02002503"
"467","E01012058","E02002497"
"468","E01012013","E02002503"
"469","E01012074","E02002499"
"471","E01012023","E02002510"
"475","E01012080","E02002500"
"480","E01012060","E02002497"
"490","E01012010","E02002507"
"492","E01012062","E02006811"
"493","E01012067","E02002512"
"511","E01012059","E02002497"
"521","E01012026","E02002501"
"525","E01012091","E02002502"
"549","E01012117","E02002532"
"556","E01012075","E02002499"
"566","E01012077","E02002499"
"571","E01012082","E02002505"
"572","E01012083","E02002505"
"589","E01012048","E02002508"
"594","E01012049","E02002509"
"607","E01012131","E02002519"
"614","E01012038","E02002498"
"642","E01012159","E02002521"
"660","E01012047","E02002508"
"675","E01012165","E02002526"
"676","E01012171","E02002525"
"679","E01012140","E02002520"
"696","E01012085","E02002505"
"718","E01012158","E02002521"
"719","E01012180","E02002518"
"720","E01032594","E02006812"
"721","E01012111","E02002525"
"724","E01012118","E02002532"
"725","E01012129","E02002519"
"727","E01012142","E02002516"
"729","E01012145","E02002529"
"730","E01012149","E02002529"
"731","E01012157","E02002520"
"732","E01012155","E02002520"
"734","E01012168","E02006910"
"735","E01012178","E02002518"
"736","E01012181","E02002530"
"737","E01032560","E02002517"
"738","E01012099","E02002524"
"740","E01012132","E02002530"
"742","E01012134","E02002530"
"743","E01033473","E02002527"
"744","E01012143","E02002516"
"746","E01012184","E02002515"
"747","E01012120","E02002534"
"748","E01012100","E02002515"
"750","E01012150","E02006812"
"751","E01032548","E02002533"
"752","E01012130","E02002519"
"753","E01012138","E02002520"
"754","E01012163","E02002526"
"755","E01012177","E02002518"
"801","E01033470","E02006910"
"804","E01032561","E02002517"
"805","E01012106","E02002517"
"806","E01012107","E02002517"
"807","E01012121","E02002532"
"808","E01012128","E02002519"
"812","E01012148","E02006812"
"816","E01012160","E02002521"
"821","E01012109","E02002525"
"822","E01012119","E02002532"
"825","E01012101","E02002515"
"829","E01012136","E02002527"
"831","E01012170","E02006910"
"840","E01012162","E02002526"
"841","E01012164","E02002526"
"843","E01012137","E02002530"
"845","E01012102","E02002515"
"848","E01033472","E02002533"
"852","E01012127","E02002519"
"858","E01032549","E02002533"
"861","E01012161","E02002521"
"864","E01012179","E02002518"
"866","E01012112","E02002529"
"872","E01012114","E02002523"
"876","E01012156","E02002520"
"878","E01012098","E02002524"
"883","E01012175","E02002523"
"886","E01012096","E02002527"
"897","E01012105","E02002516"
"899","E01012110","E02002525"
"913","E01012154","E02002520"
"918","E01012173","E02006910"
"925","E01012185","E02002518"
"927","E01012097","E02002524"
"935","E01033471","E02002523"
"938","E01012113","E02002523"
"947","E01012144","E02002516"
"959","E01012167","E02006910"
"967","E01012172","E02002525"
"969","E01012108","E02002525"
"982","E01012174","E02006910"
"990","E01012176","E02002518"
"1002","E01012182","E02002534"
"1003","E01012183","E02002534"
"1007","E01012186","E02002518"
"1021","E01012095","E02002524"
"1024","E01012124","E02002534"
"1034","E01012139","E02002520"
"1091","E01012146","E02006910"
"1093","E01012151","E02006812"
"1094","E01012152","E02006812"
"1139","E01012141","E02002520"
"1141","E01012147","E02002529"
"1220","E01012191","E02002549"
"1221","E01012206","E02002547"
"1222","E01012213","E02002540"
"1223","E01032542","E02002543"
"1224","E01012200","E02002555"
"1226","E01012211","E02002540"
"1227","E01012224","E02002549"
"1228","E01012236","E02002556"
"1229","E01012246","E02002535"
"1230","E01012270","E02002555"
"1232","E01012205","E02002545"
"1233","E01012248","E02002543"
"1235","E01012250","E02002543"
"1236","E01012253","E02002546"
"1237","E01012256","E02002536"
"1238","E01012259","E02002544"
"1239","E01012281","E02002538"
"1241","E01012278","E02002538"
"1242","E01012289","E02002551"
"1243","E01012283","E02002554"
"1244","E01012240","E02002552"
"1245","E01032544","E02002543"
"1246","E01012216","E02002537"
"1247","E01033477","E02002548"
"1251","E01033474","E02002557"
"1252","E01012225","E02002549"
"1254","E01012193","E02002541"
"1255","E01012258","E02002544"
"1256","E01012202","E02002555"
"1257","E01012254","E02002546"
"1258","E01012260","E02002541"
"1261","E01012267","E02002548"
"1262","E01012288","E02002551"
"1264","E01012217","E02002550"
"1265","E01012238","E02002552"
"1266","E01012239","E02002552"
"1271","E01012251","E02002546"
"1273","E01012264","E02002548"
"1274","E01012271","E02002542"
"1275","E01012287","E02002551"
"1276","E01012198","E02002537"
"1277","E01012214","E02002537"
"1280","E01012199","E02002555"
"1281","E01012223","E02002550"
"1282","E01012279","E02002538"
"1284","E01012228","E02002556"
"1286","E01012291","E02002553"
"1289","E01012192","E02002541"
"1290","E01012196","E02002537"
"1293","E01032543","E02002543"
"1294","E01012245","E02002537"
"1295","E01012249","E02002542"
"1297","E01012273","E02002542"
"1298","E01012275","E02002536"
"1299","E01012277","E02002536"
"1300","E01012284","E02002554"
"1303","E01012210","E02002540"
"1304","E01012230","E02002556"
"1306","E01012299","E02002558"
"1309","E01012207","E02002547"
"1310","E01033480","E02002539"
"1312","E01012302","E02002558"
"1315","E01012243","E02002535"
"1317","E01012195","E02002544"
"1319","E01012242","E02002535"
"1322","E01012204","E02002547"
"1326","E01012212","E02002540"
"1328","E01012226","E02002549"
"1332","E01012235","E02002558"
"1334","E01012255","E02002539"
"1338","E01012269","E02002539"
"1340","E01012294","E02002539"
"1342","E01012237","E02002556"
"1345","E01012301","E02002558"
"1348","E01012303","E02002558"
"1349","E01012298","E02002558"
"1353","E01012285","E02002554"
"1354","E01012233","E02002556"
"1359","E01012266","E02002548"
"1360","E01012194","E02002544"
"1369","E01012292","E02002553"
"1373","E01012257","E02002536"
"1374","E01012261","E02002541"
"1377","E01012290","E02002553"
"1378","E01012215","E02002537"
"1379","E01012297","E02002535"
"1386","E01012268","E02002544"
"1388","E01012300","E02002558"
"1390","E01012262","E02002548"
"1401","E01012286","E02002551"
"1416","E01012296","E02002535"
"1419","E01012276","E02002536"
"1423","E01012231","E02002557"
"1426","E01012234","E02002557"
"1432","E01012219","E02002546"
"1436","E01012247","E02002542"
"1440","E01012274","E02002542"
"1445","E01012280","E02002538"
"1446","E01012295","E02002539"
"1449","E01012187","E02002545"
"1454","E01012209","E02002550"
"1456","E01012227","E02002557"
"1457","E01012241","E02002552"
"1467","E01012272","E02002542"
"1473","E01012252","E02002546"
"1478","E01033478","E02002557"
"1479","E01012282","E02002554"
"1481","E01012232","E02002557"
"1500","E01033476","E02002539"
"1502","E01012201","E02002555"
"1504","E01033475","E02002557"
"1508","E01033479","E02002557"
"1534","E01012197","E02002536"
"1586","E01012203","E02002555"
"1589","E01012208","E02002547"
"1595","E01012189","E02002545"
"1601","E01012325","E02002563"
"1602","E01012329","E02002561"
"1604","E01012336","E02002569"
"1605","E01012337","E02002569"
"1609","E01012339","E02002573"
"1610","E01012348","E02002569"
"1612","E01012347","E02002569"
"1614","E01012361","E02002569"
"1617","E01012345","E02002573"
"1619","E01012366","E02002559"
"1620","E01012334","E02002559"
"1621","E01012305","E02002570"
"1622","E01012304","E02002570"
"1625","E01012307","E02002567"
"1628","E01012316","E02002568"
"1629","E01012340","E02002570"
"1630","E01012352","E02002562"
"1631","E01012349","E02002562"
"1632","E01012350","E02002562"
"1633","E01012353","E02002566"
"1638","E01012354","E02002566"
"1639","E01012356","E02002572"
"1642","E01012357","E02002572"
"1643","E01012363","E02002565"
"1644","E01012362","E02002565"
"1650","E01012364","E02002565"
"1661","E01012330","E02002561"
"1664","E01012351","E02002562"
"1666","E01012346","E02002573"
"1669","E01012306","E02002570"
"1671","E01012313","E02002564"
"1674","E01012360","E02002568"
"1677","E01033481","E02002559"
"1678","E01012311","E02002564"
"1679","E01012314","E02002564"
"1680","E01012312","E02002564"
"1681","E01012318","E02002571"
"1682","E01012327","E02002567"
"1683","E01012341","E02002570"
"1684","E01012359","E02002572"
"1689","E01012358","E02002572"
"1692","E01012323","E02002560"
"1694","E01032545","E02002560"
"1696","E01012331","E02002561"
"1707","E01012315","E02002568"
"1756","E01012328","E02002561"
"1758","E01012335","E02002559"
"1759","E01012338","E02002573"
"1761","E01012344","E02002573"
"1769","E01012218","E02002550"
"1775","E01033483","E02002566"
"1785","E01033484","E02002566"
"1841","E01012342","E02002567"
"1855","E01012355","E02002566"
"1862","E01012319","E02002571"
"1874","E01012310","E02002564"
"1876","E01012317","E02002571"
"1879","E01012324","E02002560"
"1880","E01012343","E02002567"
"1881","E01012309","E02002564"
"1885","E01012332","E02002563"
"1886","E01012333","E02002563"
"1908","E01012244","E02002535"
"1918","E01012190","E02002549"
"1978","E01012188","E02002545"
"2012","E01012383","E02002586"
"2013","E01032546","E02002560"
"2045","E01012365","E02002565"
"2054","E01012367","E02002580"
"2056","E01012430","E02002585"
"2057","E01012380","E02002579"
"2060","E01012326","E02002563"
"2072","E01012373","E02002589"
"2073","E01012384","E02002583"
"2094","E01012379","E02002579"
"2113","E01033482","E02002559"
"2115","E01012377","E02002577"
"2116","E01012388","E02002579"
"2117","E01012372","E02002589"
"2120","E01012394","E02002578"
"2123","E01012371","E02002589"
"2124","E01012390","E02002577"
"2127","E01012398","E02002584"
"2132","E01012374","E02002575"
"2133","E01012402","E02002584"
"2138","E01012375","E02002575"
"2139","E01012387","E02002582"
"2140","E01012393","E02002574"
"2142","E01012395","E02002574"
"2143","E01012401","E02002581"
"2144","E01012418","E02002589"
"2147","E01012423","E02002575"
"2148","E01012421","E02002575"
"2149","E01012434","E02002582"
"2151","E01012445","E02002583"
"2153","E01012385","E02002582"
"2155","E01012431","E02002585"
"2157","E01012443","E02002581"
"2161","E01012428","E02002585"
"2166","E01012409","E02002588"
"2167","E01012425","E02002578"
"2168","E01012433","E02002587"
"2169","E01012441","E02002580"
"2171","E01012412","E02002576"
"2172","E01012413","E02002576"
"2175","E01012442","E02002579"
"2176","E01012382","E02002583"
"2177","E01012391","E02002581"
"2178","E01012369","E02002578"
"2179","E01012368","E02002576"
"2182","E01012405","E02002584"
"2183","E01012397","E02002586"
"2186","E01012396","E02002586"
"2187","E01012381","E02002583"
"2189","E01012403","E02002586"
"2202","E01012420","E02002577"
"2205","E01012424","E02002580"
"2207","E01012439","E02002588"
"2213","E01012370","E02002580"
"2222","E01012400","E02002584"
"2225","E01012408","E02002586"
"2228","E01012411","E02002574"
"2231","E01012414","E02002576"
"2232","E01012417","E02002585"
"2240","E01012422","E02002577"
"2252","E01012419","E02002577"
"2255","E01012432","E02002587"
"2256","E01012416","E02002585"
"2264","E01012436","E02002587"
"2265","E01012426","E02002578"
"2268","E01012437","E02002588"
"2279","E01012406","E02002588"
"2283","E01012429","E02002585"
"2287","E01012378","E02002579"
"2293","E01012399","E02002586"
"2295","E01012404","E02002584"
"2297","E01012407","E02002588"
"2342","E01012376","E02002575"
"2348","E01012386","E02002582"
"2354","E01012435","E02002582"
"2404","E01012447","E02002614"
"2406","E01012444","E02002583"
"2422","E01012389","E02002581"
"2429","E01012392","E02002574"
"2443","E01012415","E02002589"
"2445","E01012462","E02002593"
"2447","E01012502","E02002613"
"2461","E01012515","E02002610"
"2462","E01012561","E02002598"
"2464","E01012427","E02002578"
"2465","E01012528","E02002608"
"2466","E01012458","E02002607"
"2467","E01012440","E02002587"
"2468","E01012448","E02002613"
"2470","E01012446","E02002614"
"2472","E01012457","E02002602"
"2474","E01012461","E02002594"
"2476","E01012538","E02002596"
"2479","E01012544","E02002596"
"2481","E01012553","E02002603"
"2484","E01012469","E02002592"
"2486","E01012477","E02002590"
"2487","E01012478","E02002601"
"2490","E01012551","E02002603"
"2491","E01012471","E02002590"
"2493","E01012481","E02002600"
"2495","E01012450","E02002612"
"2498","E01012495","E02002605"
"2504","E01012438","E02002587"
"2509","E01012410","E02002576"
"2544","E01012482","E02002600"
"2545","E01012503","E02002613"
"2548","E01012479","E02002606"
"2552","E01012552","E02002603"
"2555","E01012514","E02002610"
"2557","E01012449","E02002614"
"2559","E01012564","E02002599"
"2560","E01012563","E02002599"
"2561","E01012472","E02002590"
"2562","E01012516","E02002610"
"2564","E01012476","E02002590"
"2567","E01012554","E02002591"
"2571","E01033303","E02002606"
"2574","E01033299","E02002606"
"2575","E01012480","E02002606"
"2579","E01012507","E02002609"
"2580","E01012504","E02002609"
"2581","E01012511","E02002606"
"2582","E01012510","E02002606"
"2585","E01012525","E02002600"
"2586","E01012523","E02002600"
"2587","E01012557","E02002612"
"2592","E01033302","E02002607"
"2597","E01033300","E02002607"
"2600","E01012464","E02002593"
"2601","E01012452","E02002614"
"2606","E01012473","E02002591"
"2607","E01012489","E02002611"
"2609","E01012558","E02002612"
"2613","E01012474","E02002591"
"2614","E01012501","E02002605"
"2628","E01012529","E02002608"
"2638","E01012463","E02002593"
"2648","E01012488","E02002613"
"2649","E01012487","E02002611"
"2653","E01012492","E02002604"
"2654","E01012500","E02002604"
"2667","E01012562","E02002598"
"2712","E01012485","E02002611"
"2749","E01012498","E02002605"
"2750","E01012570","E02002599"
"2752","E01012567","E02002598"
"2755","E01012568","E02002598"
"2756","E01012569","E02002599"
"2757","E01012566","E02002599"
"2758","E01012565","E02002599"
"2759","E01012468","E02002592"
"2765","E01012493","E02002604"
"2766","E01012513","E02002610"
"2767","E01012543","E02002596"
"2770","E01012466","E02002594"
"2771","E01012459","E02002594"
"2772","E01012483","E02002607"
"2774","E01012539","E02002595"
"2775","E01012536","E02002597"
"2776","E01012546","E02002597"
"2779","E01012508","E02002609"
"2780","E01012505","E02002609"
"2781","E01012509","E02002607"
"2782","E01012518","E02002610"
"2785","E01012540","E02002596"
"2786","E01012548","E02002601"
"2789","E01012451","E02002612"
"2793","E01012537","E02002595"
"2795","E01012560","E02002612"
"2801","E01012506","E02002609"
"2803","E01012522","E02002597"
"2804","E01012535","E02002595"
"2808","E01012541","E02002596"
"2809","E01012490","E02002611"
"2811","E01012545","E02002597"
"2813","E01012530","E02002608"
"2821","E01012475","E02002591"
"2822","E01012465","E02002594"
"2825","E01012486","E02002611"
"2829","E01012519","E02002610"
"2835","E01012521","E02002597"
"2842","E01012467","E02002592"
"2860","E01012547","E02002601"
"2868","E01012460","E02002593"
"2875","E01012455","E02002602"
"2878","E01012454","E02002602"
"2884","E01012520","E02002600"
"2888","E01012534","E02002595"
"2890","E01012533","E02002597"
"2906","E01012517","E02002610"
"2929","E01012549","E02002601"
"2936","E01012512","E02002607"
"2952","E01012499","E02002605"
"2972","E01012494","E02002604"
"2976","E01012491","E02002604"
"2999","E01012550","E02002601"
"3015","E01012555","E02002603"
"3017","E01012556","E02002603"
"3026","E01012559","E02002612"
"3046","E01012526","E02002595"
"3051","E01012496","E02002605"
"3060","E01012470","E02002592"
"3079","E01012524","E02002600"
"3081","E01012527","E02002608"
"3086","E01012532","E02002608"
"3088","E01012531","E02002608"
"3096","E01012542","E02002596"
"3128","E01012497","E02002605"
"3178","E01012453","E02002602"
"3251","E01012640","E02002622"
"3252","E01012656","E02002619"
"3253","E01012661","E02002631"
"3254","E01012646","E02002629"
"3255","E01012585","E02002619"
"3256","E01012584","E02002624"
"3258","E01012658","E02002619"
"3259","E01012655","E02002620"
"3260","E01012588","E02002616"
"3263","E01012590","E02002628"
"3267","E01012653","E02002630"
"3269","E01012581","E02002616"
"3270","E01012591","E02002628"
"3274","E01012608","E02002615"
"3275","E01012621","E02002626"
"3276","E01012637","E02002622"
"3277","E01012647","E02002629"
"3278","E01012582","E02002616"
"3280","E01012589","E02002628"
"3285","E01012596","E02002623"
"3286","E01012595","E02002623"
"3289","E01012594","E02002626"
"3290","E01012599","E02002627"
"3292","E01012617","E02002629"
