MSOA Code,All Ages
E02002483,"10,332"
E02002484,"10,440"
E02002485,"8,165"
E02002487,"5,174"
E02002488,"5,894"
E02002489,"7,638"
E02002490,"6,182"
E02002491,"6,450"
E02002492,"6,895"
E02002493,"6,722"
E02002494,"7,828"
E02006909,"12,116"
E02002496,"13,462"
E02002497,"5,872"
E02002498,"9,916"
E02002499,"7,353"
E02002500,"5,961"
E02002501,"5,656"
E02002502,"9,102"
E02002503,"6,774"
E02002504,"9,822"
E02002505,"6,077"
E02002506,"5,569"
E02002507,"5,952"
E02002508,"5,050"
E02002509,"5,317"
E02002510,"6,075"
E02002512,"5,183"
E02002513,"9,356"
E02002514,"8,507"
E02006811,"10,281"
E02002515,"6,849"
E02002516,"5,843"
E02002517,"5,317"
E02002518,"10,792"
E02002519,"7,444"
E02002520,"13,028"
E02002521,"6,060"
E02002523,"6,619"
E02002524,"5,456"
E02002525,"8,085"
E02002526,"7,774"
E02002527,"5,106"
E02002529,"5,833"
E02002530,"6,359"
E02002532,"6,807"
E02002533,"6,329"
E02002534,"5,639"
E02006812,"7,551"
E02006910,"10,337"
E02002535,"9,255"
E02002536,"9,727"
E02002537,"8,579"
E02002538,"5,782"
E02002539,"9,707"
E02002540,"5,971"
E02002541,"6,056"
E02002542,"8,166"
E02002543,"9,233"
E02002544,"8,831"
E02002545,"5,110"
E02002546,"7,360"
E02002547,"6,159"
E02002548,"13,981"
E02002549,"7,308"
E02002550,"6,143"
E02002551,"7,041"
E02002552,"7,241"
E02002553,"5,883"
E02002554,"5,236"
E02002555,"10,040"
E02002556,"7,002"
E02002557,"16,588"
E02002558,"11,020"
E02002559,"9,419"
E02002560,"6,100"
E02002561,"5,230"
E02002562,"5,861"
E02002563,"5,363"
E02002564,"9,691"
E02002565,"5,043"
E02002566,"6,939"
E02002567,"8,987"
E02002568,"5,962"
E02002569,"9,032"
E02002570,"7,747"
E02002571,"6,535"
E02002572,"6,372"
E02002573,"9,121"
E02002574,"8,738"
E02002575,"9,675"
E02002576,"7,365"
E02002577,"7,552"
E02002578,"8,481"
E02002579,"7,929"
E02002580,"8,157"
E02002581,"7,263"
E02002582,"9,064"
E02002583,"7,693"
E02002584,"7,303"
E02002585,"10,678"
E02002586,"9,964"
E02002587,"6,490"
E02002588,"7,291"
E02002589,"6,116"
E02002590,"7,197"
E02002591,"6,375"
E02002592,"6,271"
E02002593,"4,963"
E02002594,"5,291"
E02002595,"8,285"
E02002596,"7,975"
E02002597,"9,284"
E02002598,"10,633"
E02002599,"11,115"
E02002600,"8,958"
E02002601,"8,733"
E02002602,"8,418"
E02002603,"6,779"
E02002604,"7,343"
E02002605,"9,003"
E02002606,"11,846"
E02002607,"11,560"
E02002608,"8,121"
E02002609,"9,713"
E02002610,"12,563"
E02002611,"7,787"
E02002612,"9,017"
E02002613,"6,529"
E02002614,"5,638"
E02002615,"10,468"
E02002616,"8,961"
E02002617,"9,245"
E02002618,"7,579"
E02002619,"9,119"
E02002620,"9,017"
E02002621,"8,607"
E02002622,"10,633"
E02002623,"10,451"
E02002624,"8,270"
E02002625,"9,741"
E02002626,"7,149"
E02002627,"7,646"
E02002628,"6,656"
E02002629,"5,666"
E02002630,"6,312"
E02002631,"8,420"
E02002632,"6,090"
E02002633,"7,629"
E02002634,"7,930"
E02002635,"7,898"
E02002636,"8,139"
E02002637,"6,019"
E02002638,"5,991"
E02002639,"6,105"
E02002640,"6,874"
E02002641,"7,929"
E02002642,"7,013"
E02002643,"7,528"
E02002644,"7,659"
E02002645,"5,932"
E02002646,"6,811"
E02002647,"7,883"
E02002648,"7,147"
E02002649,"8,043"
E02002650,"8,076"
E02002651,"7,775"
E02002652,"15,294"
E02002653,"7,878"
E02002654,"8,093"
E02002655,"8,643"
E02002656,"4,915"
E02002657,"7,129"
E02002658,"6,234"
E02002659,"10,762"
E02002660,"6,666"
E02002661,"8,149"
E02002662,"6,811"
E02002663,"7,276"
E02002664,"6,873"
E02002665,"7,873"
E02002666,"8,834"
E02002667,"7,087"
E02002668,"8,295"
E02002669,"8,213"
E02002670,"7,687"
E02002671,"8,935"
E02002672,"7,331"
E02002673,"7,393"
E02002674,"6,410"
E02002675,"9,191"
E02002676,"7,253"
E02002677,"8,165"
E02002678,"8,094"
E02002679,"7,407"
E02002680,"9,991"
E02002681,"8,964"
E02002682,"9,509"
E02006813,"7,771"
E02002684,"9,842"
E02002685,"7,762"
E02002686,"8,216"
E02002687,"5,976"
E02002688,"5,536"
E02002689,"5,762"
E02002691,"8,271"
E02002692,"9,362"
E02002693,"7,172"
E02002694,"12,552"
E02002695,"8,327"
E02002696,"6,064"
E02002697,"7,647"
E02002698,"8,605"
E02002699,"9,805"
E02002700,"6,332"
E02002701,"8,394"
E02002702,"10,053"
E02002703,"8,935"
E02002704,"7,138"
E02002705,"6,545"
E02002706,"7,256"
E02002707,"7,374"
E02002708,"6,569"
E02002709,"7,958"
E02002710,"7,469"
E02002711,"7,802"
E02002712,"7,462"
E02002714,"7,859"
E02002715,"13,567"
E02002716,"8,543"
E02002717,"8,008"
E02002718,"8,000"
E02002719,"6,486"
E02002720,"7,603"
E02002721,"6,519"
E02002722,"8,596"
E02002723,"8,854"
E02002724,"9,836"
E02002725,"6,810"
E02006814,"8,183"
E02006891,"7,776"
E02006892,"6,375"
E02002726,"10,417"
E02002727,"5,428"
E02002728,"7,848"
E02002729,"5,747"
E02002730,"7,549"
E02002731,"6,039"
E02002732,"7,907"
E02002733,"5,715"
E02002734,"5,430"
E02002735,"5,035"
E02002736,"6,060"
E02002737,"7,079"
E02002738,"6,852"
E02002739,"5,874"
E02002740,"5,481"
E02002741,"8,952"
E02002742,"5,522"
E02002743,"5,503"
E02002744,"7,276"
E02002745,"7,115"
E02002746,"9,862"
E02002747,"8,780"
E02002748,"7,893"
E02002749,"11,767"
E02002750,"6,322"
E02002751,"6,415"
E02002752,"7,129"
E02002753,"8,653"
E02002754,"8,349"
E02002755,"8,002"
E02002756,"9,810"
E02002757,"6,472"
E02002758,"6,336"
E02002759,"9,610"
E02002760,"5,919"
E02002761,"6,538"
E02002762,"6,702"
E02002763,"8,856"
E02002764,"6,046"
E02002765,"6,355"
E02002766,"9,074"
E02002767,"6,606"
E02002768,"7,729"
E02002769,"5,740"
E02002770,"7,098"
E02002771,"7,220"
E02002772,"6,943"
E02002773,"5,716"
E02002774,"6,053"
E02002775,"5,802"
E02002776,"6,808"
E02002777,"8,540"
E02002778,"8,324"
E02002779,"9,672"
E02002780,"8,712"
E02002781,"11,394"
E02002782,"6,311"
E02002783,"10,460"
E02002784,"13,932"
E02002785,"8,529"
E02002786,"11,237"
E02002787,"9,342"
E02002788,"9,065"
E02002789,"9,084"
E02002790,"13,285"
E02002791,"6,451"
E02002792,"7,938"
E02002793,"9,347"
E02002794,"9,778"
E02002795,"8,289"
E02002796,"5,977"
E02002797,"7,256"
E02002798,"9,655"
E02002799,"5,993"
E02002800,"6,960"
E02002801,"7,389"
E02002802,"7,851"
E02002803,"8,610"
E02002804,"8,717"
E02002805,"5,425"
E02002806,"6,312"
E02002807,"8,632"
E02002808,"13,142"
E02002809,"6,702"
E02002810,"8,484"
E02002811,"11,482"
E02002812,"7,567"
E02002813,"11,785"
E02002814,"6,912"
E02002815,"8,876"
E02002816,"9,476"
E02002817,"6,182"
E02002818,"8,584"
E02002819,"7,863"
E02002820,"9,594"
E02002821,"12,060"
E02002822,"6,630"
E02002823,"7,306"
E02002824,"9,883"
E02002825,"8,523"
E02002826,"6,986"
E02002827,"6,344"
E02002828,"7,568"
E02002829,"11,204"
E02002830,"10,069"
E02002831,"6,687"
E02002832,"9,223"
E02002833,"8,404"
E02002834,"11,737"
E02002835,"14,604"
E02002836,"9,644"
E02002837,"8,514"
E02002838,"8,015"
E02002839,"7,862"
E02002842,"8,592"
E02002843,"14,193"
E02002844,"11,531"
E02002845,"10,770"
E02002846,"7,039"
E02002847,"10,009"
E02002848,"11,193"
E02002849,"14,638"
E02002851,"8,258"
E02002852,"6,895"
E02002853,"13,199"
E02002854,"8,149"
E02002855,"8,066"
E02002856,"11,613"
E02002857,"6,694"
E02002858,"6,865"
E02002860,"7,757"
E02002861,"7,393"
E02002862,"7,923"
E02006815,"10,724"
E02006817,"8,844"
E02006819,"8,076"
E02006850,"13,594"
E02006851,"12,146"
E02002863,"8,087"
E02002864,"8,046"
E02002865,"7,955"
E02002866,"7,590"
E02002867,"8,798"
E02002868,"5,764"
E02002869,"7,574"
E02002871,"7,588"
E02002872,"8,754"
E02002873,"9,500"
E02002874,"8,300"
E02002875,"8,630"
E02002876,"8,150"
E02002877,"7,768"
E02002878,"9,661"
E02002879,"9,844"
E02002880,"9,102"
E02002881,"6,880"
E02002882,"8,618"
E02002883,"7,942"
E02002884,"7,120"
E02002885,"9,332"
E02002886,"9,782"
E02002887,"6,492"
E02002888,"7,619"
E02002889,"13,877"
E02002890,"14,483"
E02002891,"8,139"
E02002892,"6,096"
E02002893,"16,371"
E02002894,"7,050"
E02002895,"8,861"
E02002896,"10,631"
E02002897,"8,179"
E02002898,"11,275"
E02002899,"11,554"
E02002901,"6,146"
E02002902,"9,241"
E02002903,"6,184"
